address,category,claimed_status,first_review,health_rating,id,info,last_review,latitude,longitude,name,neighborhood,permanently_closed,phone,price_range,ratings,ratings_histogram,reviews,url,website,working_hours
"1612 W Division St Chicago, IL 60622 b/t Ashland Ave & Marshfield Ave West Town, Wicker Park","Bars,American (New)",Claimed,2011-04-30,,44_the-bedford,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'No'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Accepts Android Pay': 'No'}, {'Parking': 'Valet, Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Dressy'}, {'Ambience': 'Trendy'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'Free'}, {'Has TV': 'Yes'}, {'Caters': 'Yes'}, {'Has Pool Table': 'No'}]",2017-06-17,41.90352,-87.668089,The Bedford,"West Town, Wicker Park",1,(773) 235-8800,$11-30,3.5,"[{5: 160}, {4: 224}, {3: 134}, {2: 62}, {1: 40}]",620.0,https://www.yelp.com/biz/the-bedford-chicago,,[]
"445 N Dearborn St Chicago, IL 60654 Near North Side","Bars,Seafood,Italian",Claimed,2014-03-11,,57_joe-fish,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Good For': 'Dinner'}, {'Parking': 'Valet'}, {'Bike Parking': 'No'}, {'Wheelchair Accessible': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Dressy'}, {'Ambience': 'Classy'}, {'Noise Level': 'Average'}, {'Music': 'Background'}, {'Good For Dancing': 'No'}, {'Alcohol': 'Full Bar'}, {'Happy Hour': 'Yes'}, {'Best Nights': 'Thu, Fri, Sat'}, {'Coat Check': 'Yes'}, {'Smoking': 'No'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'No'}, {'Has TV': 'Yes'}, {'Waiter Service': 'Yes'}, {'Caters': 'No'}, {'Has Pool Table': 'No'}]",2017-06-11,41.890953,-87.629296,Joe Fish Italian,Near North Side,1,(312) 832-7700,$31-60,4.0,"[{5: 79}, {4: 59}, {3: 20}, {2: 19}, {1: 18}]",195.0,https://www.yelp.com/biz/joe-fish-chicago,http://www.rosebudrestaurants.com/restaurant/joe-fish-italian/,[]
"868 N Franklin St Chicago, IL 60610 b/t Chestnut St & Locust St Near North Side","American (New),Cocktail Bars,Salad",Claimed,2006-04-17,,352_mk-restaurant,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'No'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Parking': 'Valet, Street'}, {'Bike Parking': 'No'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Dressy'}, {'Ambience': 'Upscale'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'No'}, {'Has TV': 'No'}, {'Caters': 'No'}, {'Has Pool Table': 'No'}]",2017-06-09,41.898548,-87.635944,MK Restaurant,Near North Side,1,(312) 482-9179,Above $61,4.5,"[{5: 479}, {4: 198}, {3: 89}, {2: 45}, {1: 23}]",833.0,,,[]
"358 W Ontario St Chicago, IL 60654 Near North Side, River North",Cajun/Creole,Claimed,2013-10-06,,137_nouveau-tavern,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'No'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Valet, Street'}, {'Bike Parking': 'No'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Trendy'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'No'}, {'Has TV': 'Yes'}, {'Caters': 'No'}]",2017-06-05,41.893238000000004,-87.63815699999999,Nouveau Tavern,"Near North Side, River North",1,(312) 915-4100,$11-30,2.5,"[{5: 33}, {4: 25}, {3: 23}, {2: 34}, {1: 62}]",177.0,,http://www.nouveautavern.com/,[]
"217 W Huron Chicago, IL 60654 Near North Side, River North",American (New),Claimed,2014-11-06,,79_oak-char,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Good For': 'Dinner'}, {'Parking': 'Valet, Street'}, {'Bike Parking': 'Yes'}, {'Wheelchair Accessible': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Trendy'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'Free'}, {'Has TV': 'Yes'}, {'Dogs Allowed': 'Yes'}, {'Waiter Service': 'Yes'}, {'Caters': 'No'}]",2017-06-04,41.894498,-87.635164,Oak + Char,"Near North Side, River North",1,(312) 643-2427,$31-60,4.0,"[{5: 75}, {4: 78}, {3: 35}, {2: 23}, {1: 13}]",224.0,,http://oakandchar.com,[]
"2616 N Halsted St Chicago, IL 60614 b/t Wrightwood Ave & Schubert Ave Lincoln Park, DePaul","Sushi Bars,Japanese",Claimed,2005-08-24,,266_itto-sushi,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Parking': 'Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'No'}, {'Has TV': 'Yes'}, {'Caters': 'Yes'}]",2017-05-28,41.929691999999996,-87.649244,Itto Sushi,"Lincoln Park, DePaul",1,(773) 938-0395,$11-30,4.0,"[{5: 113}, {4: 91}, {3: 42}, {2: 24}, {1: 23}]",293.0,https://www.yelp.com/biz/itto-sushi-chicago,http://www.ittosushi.com,[]
"2616 N Halsted St Chicago, IL 60614 b/t Wrightwood Ave & Schubert Ave Lincoln Park, DePaul","Sushi Bars,Japanese",Claimed,2005-08-24,,55_itto-sushi,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Parking': 'Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'No'}, {'Has TV': 'Yes'}, {'Caters': 'Yes'}]",2017-05-28,41.929691999999996,-87.649244,Itto Sushi,"Lincoln Park, DePaul",1,(773) 938-0395,$11-30,4.0,"[{5: 113}, {4: 91}, {3: 42}, {2: 24}, {1: 23}]",293.0,https://www.yelp.com/biz/itto-sushi-chicago,http://www.ittosushi.com,[]
"Located in Chicago Midway International Airport - MDW 5757 S Cicero Ave Chicago, IL 60638 Garfield Ridge",Mexican,,2008-08-25,,309_lalos-mexican-restaurant,"[{'Takes Reservations': 'No'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Good For': 'Breakfast, Lunch, Dinner'}, {'Bike Parking': 'No'}, {'Wheelchair Accessible': 'Yes'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'No'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Loud'}, {'Alcohol': 'Beer & Wine Only'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'No'}, {'Has TV': 'No'}, {'Waiter Service': 'No'}]",2017-05-23,41.787846,-87.740554,Lalo’s Mexican Restaurant Midway,Garfield Ridge,1,(773) 838-1604,$11-30,2.5,"[{5: 5}, {4: 13}, {3: 20}, {2: 19}, {1: 28}]",85.0,https://www.yelp.com/biz/lalos-mexican-restaurant-chicago,http://www.lalos.com/locations/cicero.html,[]
"1700 W Division St Chicago, IL 60622 b/t Paulina St & Hermitage Ave West Town, Wicker Park","Southern,Bars,Chicken Shop",Claimed,2015-12-11,,87_bucks-chicken-and-biscuits,"[{'Takes Reservations': 'No'}, {'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Accepts Bitcoin': 'No'}, {'Good For': 'Brunch, Dinner'}, {'Parking': 'Street'}, {'Bike Parking': 'Yes'}, {'Wheelchair Accessible': 'Yes'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual, Trendy'}, {'Noise Level': 'Average'}, {'Good For Dancing': 'No'}, {'Alcohol': 'Full Bar'}, {'Happy Hour': 'Yes'}, {'Best Nights': 'Fri, Sat, Sun'}, {'Coat Check': 'No'}, {'Smoking': 'No'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'Free'}, {'Has TV': 'Yes'}, {'Dogs Allowed': 'Yes'}, {'Waiter Service': 'Yes'}, {'Caters': 'Yes'}, {'Has Pool Table': 'No'}]",2017-05-20,41.903569,-87.670585,Buck’s Chicken & Biscuits,"West Town, Wicker Park",1,(773) 384-9700,$11-30,3.5,"[{5: 52}, {4: 45}, {3: 28}, {2: 17}, {1: 11}]",153.0,,http://www.buckschicago.com,[]
"455 N Park Dr Chicago, IL 60611 at Illinois St Near North Side","Argentine,Steakhouses",Claimed,2015-03-08,,452_rural-society,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Bitcoin': 'No'}, {'Good For': 'Dinner'}, {'Parking': 'Valet, Garage'}, {'Bike Parking': 'Yes'}, {'Wheelchair Accessible': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'Free'}, {'Has TV': 'No'}, {'Dogs Allowed': 'No'}, {'Waiter Service': 'Yes'}, {'Caters': 'No'}]",2017-05-16,41.889798,-87.61886899999999,Rural Society Chicago,Near North Side,1,(312) 840-6605,$31-60,3.5,"[{5: 39}, {4: 16}, {3: 18}, {2: 17}, {1: 15}]",105.0,https://www.yelp.com/biz/rural-society-chicago,http://chicago.ruralsocietyrestaurant.com/,[]
"944 W Fullerton Ave Chicago, IL 60614 at Sheffield Ave DePaul, Lincoln Park",Hot Dogs,,2005-07-12,,170_demon-dogs,"[{'Takes Reservations': 'No'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'No'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Noise Level': 'Loud'}, {'Alcohol': 'No'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'No'}, {'Has TV': 'No'}, {'Caters': 'No'}]",2017-05-11,41.925692,-87.653244,Demon Dogs,"DePaul, Lincoln Park",1,(773) 281-2001,Under $10,4.5,"[{5: 7}, {4: 9}, {3: 2}, {2: 0}, {1: 0}]",18.0,https://www.yelp.com/biz/demon-dogs-chicago,,[]
"401 W Fullerton Pkwy Chicago, IL 60614 at Lakeview Ave Lincoln Park","Japanese,Seafood,Steakhouses",Claimed,2016-02-19,,296_kyoto-sushi-steak-seafood,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Good For': 'Dinner'}, {'Parking': 'Street'}, {'Bike Parking': 'Yes'}, {'Wheelchair Accessible': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'No'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'Free'}, {'Has TV': 'Yes'}, {'Waiter Service': 'Yes'}, {'Caters': 'Yes'}]",2017-05-03,41.925458,-87.639608,"Kyoto, Sushi-Steak-Seafood",Lincoln Park,1,,$11-30,4.0,"[{5: 52}, {4: 10}, {3: 8}, {2: 11}, {1: 6}]",87.0,,http://www.kyotochicago.com,[]
"3611 N Broadway Chicago, IL 60613 b/t Patterson Ave & Addison St Lakeview",Breakfast & Brunch,Claimed,2012-12-22,,122_waffles-cafe,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'No'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'Free'}, {'Has TV': 'No'}, {'Caters': 'Yes'}]",2017-05-02,41.947672999999995,-87.64745,Waffles Cafe,Lakeview,1,(773) 281-8440,$11-30,3.0,"[{5: 36}, {4: 58}, {3: 61}, {2: 72}, {1: 61}]",288.0,https://www.yelp.com/biz/waffles-cafe-chicago,http://www.wafflescafechicago.com,[]
"1745 W North Ave Chicago, IL 60622 b/t Wood St & Hermitage Ave Wicker Park, West Town","American (New),Bars,Gastropubs",Claimed,2013-01-15,,74_the-monarch,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'Yes'}, {'Accepts Bitcoin': 'No'}, {'Parking': 'Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'Free'}, {'Has TV': 'Yes'}, {'Caters': 'No'}, {'Has Pool Table': 'No'}]",2017-04-13,41.910356,-87.671856,The Monarch,"Wicker Park, West Town",1,(773) 252-6053,$11-30,4.0,"[{5: 94}, {4: 38}, {3: 32}, {2: 26}, {1: 20}]",210.0,https://www.yelp.com/biz/the-monarch-chicago,http://monarchchicago.com/,[]
"59 W Grand Ave Chicago, IL 60654 Near North Side","Pizza,Italian",Claimed,2007-10-06,,391_la-madia,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Accepts Bitcoin': 'No'}, {'Parking': 'Valet, Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Trendy'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'Free'}, {'Has TV': 'Yes'}, {'Caters': 'Yes'}]",2017-04-07,41.891628999999995,-87.63022,Osteria La Madia,Near North Side,1,(312) 329-0400,$11-30,4.0,"[{5: 291}, {4: 434}, {3: 171}, {2: 75}, {1: 23}]",994.0,https://www.yelp.com/biz/la-madia-chicago,http://www.osterialamadia.com,[]
"59 W Grand Ave Chicago, IL 60654 Near North Side","Pizza,Italian",Claimed,2009-09-16,,555_osteria-la-madia,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Accepts Bitcoin': 'No'}, {'Parking': 'Valet, Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Trendy'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'Free'}, {'Has TV': 'Yes'}, {'Caters': 'Yes'}]",2017-04-07,41.891628999999995,-87.63022,Osteria La Madia,Near North Side,1,(312) 329-0400,$11-30,4.0,"[{5: 291}, {4: 434}, {3: 171}, {2: 75}, {1: 23}]",994.0,,http://www.osterialamadia.com,[]
"1635 W Irving Park Rd Chicago, IL 60613 b/t Ashland Ave & Marshfield Ave Lakeview",Diners,Claimed,2005-08-18,,34_diner-grill,"[{'Takes Reservations': 'No'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Accepts Android Pay': 'No'}, {'Parking': 'Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'No'}, {'Attire': 'Casual'}, {'Ambience': 'Divey'}, {'Noise Level': 'Average'}, {'Alcohol': 'No'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'No'}, {'Has TV': 'Yes'}, {'Caters': 'No'}]",2017-03-04,41.954093,-87.67047600000001,Diner Grill,Lakeview,1,(773) 248-2030,Under $10,4.0,"[{5: 100}, {4: 64}, {3: 28}, {2: 9}, {1: 11}]",212.0,https://www.yelp.com/biz/diner-grill-chicago,,[]
"354 W Hubbard St Chicago, IL 60654 River North, Near North Side",Italian,Claimed,2014-04-22,,141_cocello,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'No'}, {'Accepts Credit Cards': 'Yes'}, {'Good For': 'Dinner'}, {'Parking': 'Garage, Street, Validated'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Romantic'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'No'}, {'Has TV': 'No'}, {'Waiter Service': 'Yes'}, {'Caters': 'No'}]",2017-02-28,41.889924,-87.638367,Cocello,"River North, Near North Side",1,(312) 888-9195,$31-60,4.0,"[{5: 52}, {4: 37}, {3: 16}, {2: 11}, {1: 6}]",122.0,https://www.yelp.com/biz/cocello-chicago,http://www.cocello.com,[]
